FETAL_FRAC,CHR13_SENSITIVITY,CHR13_SPECIFICITY,CHR18_SENSITIVITY,CHR18_SPECIFICITY,CHR21_SENSITIVITY,CHR21_SPECIFICITY
0.001,0.0018,0.9979,0.0022,0.9975,0.0018,0.9982
0.002,0.0038,0.9978,0.0033,0.9988,0.0031,0.9978
0.003,0.0047,0.9973,0.0045,0.9973,0.0031,0.998
0.004,0.0071,0.9971,0.0065,0.9979,0.0028,0.9979
0.005,0.0115,0.9984,0.0063,0.9984,0.0056,0.9979
0.006,0.014,0.9984,0.0108,0.9981,0.0075,0.998
0.007,0.0199,0.9979,0.0124,0.9985,0.0079,0.9969
0.008,0.0263,0.9979,0.016,0.9976,0.0105,0.9973
0.009,0.031,0.9981,0.0211,0.9983,0.0106,0.9986
0.01,0.0382,0.9981,0.0238,0.9983,0.0146,0.9978
0.011,0.0556,0.9984,0.0307,0.9987,0.016,0.9987
0.012,0.0629,0.9981,0.0374,0.9983,0.0209,0.999
0.013,0.0769,0.9978,0.0417,0.9987,0.0243,0.9986
0.014,0.0977,0.9988,0.0527,0.9984,0.0282,0.9984
0.015,0.112,0.9975,0.0711,0.9985,0.0317,0.9982
0.016,0.1375,0.9986,0.0774,0.9976,0.0382,0.9984
0.017,0.1645,0.998,0.0915,0.998,0.044,0.9991
0.018,0.1911,0.9988,0.1102,0.998,0.0492,0.9987
0.019,0.2193,0.9996,0.1234,0.9986,0.0576,0.9984
0.02,0.2645,0.998,0.1443,0.9984,0.0696,0.9983
0.021,0.296,0.9987,0.1577,0.9985,0.0697,0.9994
0.022,0.3337,0.9985,0.1853,0.9988,0.0853,0.9989
0.023,0.3693,0.9986,0.2065,0.9977,0.0934,0.9985
0.024,0.4261,0.9987,0.2351,0.9984,0.1034,0.9994
0.025,0.4676,0.9986,0.2644,0.9981,0.1151,0.9989
0.026,0.5025,0.998,0.2892,0.9994,0.1298,0.9989
0.027,0.5526,0.9984,0.3157,0.9984,0.1383,0.9996
0.028,0.5858,0.998,0.3559,0.9987,0.1524,0.9992
0.029,0.6506,0.9989,0.3894,0.9987,0.1795,0.9992
0.03,0.6839,0.9984,0.4234,0.9991,0.1903,0.9996
0.031,0.7263,0.998,0.4554,0.9986,0.2055,0.9991
0.032,0.7549,0.9984,0.4845,0.9988,0.2218,0.999
0.033,0.7849,0.9983,0.5137,0.999,0.2455,0.9995
0.034,0.8161,0.9986,0.5589,0.9992,0.2603,0.9988
0.035,0.8436,0.9991,0.5844,0.9991,0.2761,0.999
0.036,0.8716,0.9984,0.6188,0.9997,0.2996,0.9994
0.037,0.8931,0.9986,0.6433,0.9994,0.3201,0.9993
0.038,0.913,0.9991,0.6746,0.9991,0.3344,0.9994
0.039,0.9253,0.9987,0.7079,0.999,0.3633,0.9994
0.04,0.9389,0.9991,0.7382,0.9989,0.3823,0.9991
